 search(14)-> true, performed by thread: 123145380577280
 search(100)-> false, performed by thread: 123145381650432
 search(74)-> true, performed by thread: 123145381113856
 search(1)-> true, performed by thread: 123145380040704
 search(563)-> false, performed by thread: 123145382187008
 search(205)-> false, performed by thread: 123145382723584
 search(33)-> false, performed by thread: 123145383796736
 search(627)-> false, performed by thread: 123145383260160
 search(223)-> false, performed by thread: 123145384333312
 search(68)-> false, performed by thread: 123145384869888
 search(935)-> false, performed by thread: 123145385406464
 search(565)-> false, performed by thread: 123145385943040
 search(679)-> false, performed by thread: 123145386479616
 search(472)-> false, performed by thread: 123145387552768
 search(64)-> false, performed by thread: 123145387016192
 search(112)-> false, performed by thread: 123145388089344
 search(51)-> true, performed by thread: 123145388625920
 search(242)-> false, performed by thread: 123145389162496
 search(35)-> true, performed by thread: 123145389699072
 search(197)-> false, performed by thread: 123145390235648
 search(791)-> false, performed by thread: 123145390772224
 search(66)-> false, performed by thread: 123145391308800
 search(46)-> false, performed by thread: 123145391845376
 search(833)-> false, performed by thread: 123145392381952
 search(36)-> false, performed by thread: 123145392918528
 search(74)-> true, performed by thread: 123145393455104
 search(225)-> false, performed by thread: 123145394528256
 search(24)-> false, performed by thread: 123145393991680
 search(268)-> false, performed by thread: 123145395064832
 search(866)-> false, performed by thread: 123145395601408
 search(255)-> false, performed by thread: 123145396137984
 search(11)-> false, performed by thread: 123145397211136
 search(102)-> false, performed by thread: 123145396674560
 search(21)-> false, performed by thread: 123145397747712
 search(9)-> false, performed by thread: 123145398284288
 search(77)-> false, performed by thread: 123145398820864
 search(89)-> false, performed by thread: 123145399357440
 search(4)-> false, performed by thread: 123145399894016
 search(150)-> false, performed by thread: 123145400430592
 search(128)-> false, performed by thread: 123145400967168
 search(7)-> false, performed by thread: 123145401503744
 search(84)-> false, performed by thread: 123145402040320
 search(94)-> false, performed by thread: 123145402576896
 search(10)-> false, performed by thread: 123145403113472
 search(3)-> false, performed by thread: 123145403650048
 search(5)-> false, performed by thread: 123145404186624
 search(67)-> false, performed by thread: 123145404723200
 search(13)-> false, performed by thread: 123145405259776
 search(23)-> true, performed by thread: 123145405796352
 search(68)-> false, performed by thread: 123145406332928
 search(95)-> false, performed by thread: 123145406869504
 search(79)-> false, performed by thread: 123145407942656
 search(65)-> false, performed by thread: 123145407406080
 search(64)-> false, performed by thread: 123145408479232
 search(47)-> false, performed by thread: 123145409015808
 search(112)-> false, performed by thread: 123145409552384
 search(51)-> true, performed by thread: 123145410088960
 search(35)-> true, performed by thread: 123145411162112
 search(22)-> false, performed by thread: 123145410625536
 search(97)-> false, performed by thread: 123145411698688
 search(71)-> false, performed by thread: 123145412235264
 search(66)-> false, performed by thread: 123145412771840
 search(406)-> false, performed by thread: 123145413308416
 search(83)-> false, performed by thread: 123145413844992
 search(36)-> false, performed by thread: 123145414381568
 search(24)-> false, performed by thread: 123145415454720
 search(74)-> true, performed by thread: 123145414918144
 search(225)-> false, performed by thread: 123145415991296
 search(28)-> false, performed by thread: 123145416527872
 search(86)-> false, performed by thread: 123145417064448
 search(25)-> false, performed by thread: 123145417601024
 search(102)-> false, performed by thread: 123145418137600
 search(11)-> false, performed by thread: 123145418674176
 search(21)-> false, performed by thread: 123145419210752
 search(9)-> false, performed by thread: 123145419747328
 search(77)-> false, performed by thread: 123145420283904
 search(4)-> false, performed by thread: 123145421357056
 search(89)-> false, performed by thread: 123145420820480
 search(15)-> false, performed by thread: 123145421893632
 search(12)-> false, performed by thread: 123145422430208

Execution time(of constructing the tree from the input file then creating threads & executing the functions given in the input file): 23.5017 ms

